ORDER_DATE,ORDER_ID,CATEGORY,CUSTOMER,GRAND_TOTAL
2023-02-11,A140,Ropa,430163,878057
2022-12-22,A141,Belleza,817477,691687
2023-01-25,A142,Decoración,703330,722020
2022-12-28,A143,Muebles,328146,885727
2022-12-22,A144,Belleza,477339,309259
2023-02-14,A145,Smartphones,355013,714504
2023-01-30,A146,Belleza,123721,779396
2022-12-23,A147,Herramientas,775443,903765
2023-02-19,A148,Muebles,870572,843743
2023-02-14,A149,Herramientas,493435,690346
2022-12-14,A150,Herramientas,79135,188636
2023-01-20,A151,Herramientas,254415,135803
2023-02-17,A152,Muebles,508157,628482
2023-01-31,A153,Decoración,848287,745354
2023-01-10,A154,Belleza,739955,383023
2022-12-20,A155,Ropa,280470,524150
2023-02-20,A156,Smartphones,680166,333946
2023-02-04,A157,Belleza,971950,77584
2023-01-29,A158,Herramientas,680071,711416
2022-12-23,A159,Smartphones,504594,217254
2023-01-17,A160,Herramientas,874541,240524
2022-12-06,A161,Ropa,989284,778048
2022-12-13,A162,Muebles,554427,169943
2023-02-21,A163,Smartphones,926010,814676
2022-12-21,A164,Belleza,766669,852999
2022-12-16,A165,Smartphones,683108,93976
2023-01-24,A166,Herramientas,214004,555148
2023-02-03,A167,Herramientas,148524,236129
2023-02-06,A168,Smartphones,467126,240027
2023-01-26,A169,Herramientas,133336,891302
2023-03-01,A170,Belleza,838421,484192
2022-12-15,A171,Decoración,185081,283534
2023-02-08,A172,Smartphones,976049,941625
2023-02-26,A173,Belleza,382454,693573
2023-02-15,A174,Smartphones,256807,442447
2023-02-11,A175,Herramientas,474742,446149
2022-12-16,A176,Herramientas,77690,102843
2022-12-17,A177,Decoración,952157,566302
2023-02-07,A178,Belleza,86081,838202
2023-01-30,A179,Decoración,591004,115877
2022-12-14,A180,Smartphones,38668,567511
2023-01-20,A181,Smartphones,450888,569829
2023-02-01,A182,Belleza,924511,986412
2022-12-14,A183,Decoración,227292,164867
2022-12-25,A184,Muebles,824862,199633
2023-02-01,A185,Decoración,213096,323802
2023-02-17,A186,Herramientas,59530,992162
2023-01-12,A187,Muebles,441999,179031
2023-02-20,A188,Belleza,682985,94097
2023-01-17,A189,Herramientas,788929,617692
2023-01-19,A190,Muebles,586234,322419
2023-02-11,A191,Decoración,738023,712748
2023-01-07,A192,Herramientas,324010,190840
2023-01-02,A193,Belleza,695334,404812
2022-12-11,A194,Smartphones,484716,701970
2022-12-10,A195,Ropa,349945,255986
2023-03-02,A196,Belleza,999842,685357
2023-01-03,A197,Ropa,799928,491131
2023-02-08,A198,Muebles,59073,534272
2023-02-26,A199,Decoración,683721,869266
2023-01-27,A200,Belleza,904661,478171
2023-02-28,A201,Herramientas,585338,264065
2022-12-10,A202,Smartphones,438133,241419
2023-02-27,A203,Ropa,865426,157978
2023-02-07,A204,Decoración,789796,183270
2023-01-09,A205,Muebles,481103,804369
2023-01-17,A206,Herramientas,690532,736675
2022-12-20,A207,Ropa,543058,107019
2022-12-05,A208,Smartphones,117398,978318
2023-02-09,A209,Ropa,58661,840705
2023-01-06,A210,Belleza,698578,974447
2022-12-29,A211,Herramientas,110857,139707
2023-01-27,A212,Decoración,76807,208026
2022-12-24,A213,Ropa,925649,346768
2023-01-24,A214,Smartphones,173210,435248
2023-01-18,A215,Decoración,439951,990199
2023-02-27,A216,Muebles,139750,668123
2022-12-04,A217,Smartphones,433839,661539
2023-02-20,A218,Belleza,554457,774815
2023-02-03,A219,Ropa,786337,860648
2023-01-19,A220,Belleza,636488,929003
2023-02-26,A221,Ropa,599340,335896
2023-01-23,A222,Decoración,799669,605823
2023-01-21,A223,Muebles,901338,754354
2022-12-05,A224,Belleza,888097,927405
2023-01-14,A225,Herramientas,455672,943906
2023-02-25,A226,Ropa,247714,503332
2023-03-01,A227,Decoración,355939,121780
2023-02-07,A228,Smartphones,773932,836468
2023-01-07,A229,Ropa,989565,627897
2022-12-05,A230,Decoración,994863,91861
2023-02-26,A231,Belleza,310912,878178
2022-12-10,A232,Muebles,508407,853165
2023-01-27,A233,Ropa,411112,321663
2023-02-11,A234,Decoración,260170,383248
2022-12-20,A235,Herramientas,551633,232316
2022-12-26,A236,Herramientas,963755,872816
2022-12-11,A237,Muebles,607623,517614
2023-02-18,A238,Decoración,38210,828210
2023-02-10,A239,Ropa,233594,136885
2023-01-11,A240,Smartphones,649581,421459
2022-12-19,A241,Muebles,80007,673679
2023-02-27,A242,Ropa,332266,884809
2023-02-12,A243,Muebles,300819,318123
2023-02-01,A244,Smartphones,33748,375188
2022-12-11,A245,Herramientas,813663,821495
2023-02-14,A246,Smartphones,796159,610477
2023-01-19,A247,Herramientas,421321,291802
2023-01-07,A248,Muebles,258044,519292
2023-01-19,A249,Ropa,147028,286593
2023-02-22,A250,Herramientas,218838,449115
2022-12-27,A251,Belleza,455235,413151
2022-12-22,A252,Decoración,514617,94070
2023-02-09,A253,Belleza,880548,673979
2023-02-04,A254,Herramientas,427981,547037
2022-12-21,A255,Muebles,616773,989789
2023-02-07,A256,Decoración,681385,607081
2022-12-04,A257,Ropa,994080,340107
2023-01-25,A258,Decoración,762208,918007
2023-02-23,A259,Herramientas,494670,802890
2023-02-28,A260,Smartphones,262293,370554
2023-02-28,A261,Smartphones,313304,269770
2023-02-18,A262,Herramientas,146080,870305
2022-12-28,A263,Smartphones,272356,946860
2022-12-04,A264,Smartphones,315353,722369
2022-12-04,A265,Muebles,631453,638394
2022-12-30,A266,Smartphones,776968,162711
2023-02-09,A267,Belleza,144459,274160
2022-12-28,A268,Muebles,836940,832387
2022-12-21,A269,Herramientas,592721,800760
2022-12-17,A270,Muebles,837612,548303
2023-02-27,A271,Herramientas,262366,897091
2022-12-11,A272,Ropa,589320,248385
2022-12-09,A273,Muebles,484252,194803
2022-12-13,A274,Smartphones,107393,989473
2023-03-03,A275,Herramientas,263052,61157
2023-02-28,A276,Smartphones,620432,918344
2023-01-22,A277,Smartphones,438078,668927
2022-12-19,A278,Herramientas,273679,572066
2023-02-18,A279,Belleza,46056,388737
2023-02-05,A280,Muebles,677240,686467
2023-02-09,A281,Smartphones,45945,564963
2023-02-16,A282,Decoración,546319,938200
2023-01-14,A283,Ropa,82626,953570
2023-01-08,A284,Decoración,623958,905213
2022-12-10,A285,Muebles,732763,239255
2022-12-15,A286,Herramientas,89585,102383
2022-12-09,A287,Herramientas,944739,259818
2022-12-21,A288,Ropa,722441,418350
2023-02-19,A289,Decoración,944307,460767
2023-01-13,A290,Smartphones,584058,662237
2023-01-05,A291,Belleza,652337,388922
2022-12-08,A292,Muebles,524390,450192
2022-12-10,A293,Belleza,419273,995927
2022-12-13,A294,Muebles,937172,978908
2023-01-09,A295,Ropa,431517,140270
2023-02-04,A296,Decoración,853305,276498
2023-01-28,A297,Belleza,886682,682920
2023-01-17,A298,Herramientas,5504,737454
2023-02-14,A299,Decoración,500360,471457
2023-01-26,A300,Smartphones,695516,243587
2023-02-07,A301,Herramientas,290414,691053
2023-02-23,A302,Ropa,812319,935509
2023-01-14,A303,Ropa,209422,662115
2023-03-02,A304,Muebles,779259,803764
2022-12-29,A305,Ropa,604398,791218
2022-12-28,A306,Ropa,63689,977316
2022-12-22,A307,Herramientas,587039,881500
2023-02-24,A308,Decoración,553753,407474
2023-01-19,A309,Herramientas,363178,564097
2023-01-11,A310,Ropa,481626,220325
2023-01-14,A311,Muebles,23203,156822
2023-02-15,A312,Belleza,572272,347853
2023-01-12,A313,Decoración,407682,616667
2023-03-03,A314,Decoración,539362,589842
2023-01-17,A315,Herramientas,243431,542585
2023-02-18,A316,Belleza,45966,901428
2022-12-09,A317,Muebles,939131,813481
2022-12-13,A318,Herramientas,465743,486753
2022-12-16,A319,Belleza,478974,72520
2023-02-08,A320,Belleza,917489,564089
2023-01-19,A321,Muebles,339348,309597
2023-01-09,A322,Decoración,210616,807149
2023-02-13,A323,Decoración,688130,730453
2023-01-31,A324,Herramientas,398225,921825
2023-01-05,A325,Ropa,7427,524091
2023-02-14,A326,Belleza,436855,879914
2022-12-20,A327,Belleza,760005,532879
2022-12-29,A328,Smartphones,331522,854141
2023-02-14,A329,Belleza,365939,228072
2022-12-31,A330,Decoración,580111,537592
2022-12-17,A331,Smartphones,711320,144209
2023-02-05,A332,Muebles,82827,321751
2023-02-16,A333,Belleza,843989,968793
2023-01-01,A334,Muebles,401278,484259
2023-01-31,A335,Muebles,417809,252817
2023-01-03,A336,Herramientas,49271,674306
2022-12-16,A337,Muebles,196124,959439
2023-02-15,A338,Belleza,499148,723578
2023-02-21,A339,Smartphones,375249,607501
2022-12-17,A340,Muebles,458649,150371
2023-01-07,A341,Herramientas,385097,606095
2022-12-24,A342,Belleza,760220,999723
2023-02-01,A343,Muebles,663340,965983
2023-02-06,A344,Belleza,181406,846916
2023-02-08,A345,Herramientas,115541,944542
2022-12-05,A346,Smartphones,786284,694224
2023-01-29,A347,Belleza,468913,526339
2022-12-11,A348,Herramientas,72923,601606
2022-12-28,A349,Belleza,320953,63827
2022-12-14,A350,Muebles,74226,602118
2023-02-06,A351,Decoración,642536,731222
2023-02-05,A352,Muebles,583794,317779
2023-01-01,A353,Belleza,399477,796679
2023-02-22,A354,Herramientas,982026,97270
2023-01-01,A355,Decoración,60420,975549
2023-03-01,A356,Decoración,26624,180760
2022-12-13,A357,Muebles,464290,962656
2023-02-07,A358,Herramientas,220885,338264
2023-02-19,A359,Decoración,484414,861239
2023-02-26,A360,Belleza,176463,914817
2023-01-01,A361,Belleza,286104,777099
2023-01-31,A362,Belleza,803656,77835
2023-02-20,A363,Muebles,45103,331514
2023-02-23,A364,Belleza,31628,335788
2023-02-23,A365,Smartphones,32829,510831
2022-12-08,A366,Muebles,941879,763354
2022-12-27,A367,Decoración,227999,956799
2023-01-05,A368,Smartphones,425130,754999
2022-12-13,A369,Herramientas,822544,753120
2023-02-27,A370,Decoración,587182,981570
2022-12-25,A371,Muebles,110495,888338
2022-12-15,A372,Herramientas,860098,717644
2022-12-11,A373,Smartphones,409764,225254
2023-02-08,A374,Belleza,330497,353353
2023-02-03,A375,Herramientas,499495,757352
2022-12-04,A376,Belleza,642951,398092
2023-01-12,A377,Decoración,681153,988056
2022-12-26,A378,Decoración,647326,411518
2023-01-03,A379,Smartphones,586515,904967
2023-01-14,A380,Belleza,729192,81281
2023-01-05,A381,Ropa,103492,470668
2022-12-11,A382,Belleza,342670,537329
2022-12-31,A383,Ropa,284864,678121
2022-12-03,A384,Belleza,913773,446818
2022-12-18,A385,Herramientas,804576,306015
2023-02-23,A386,Muebles,31250,112149
2022-12-06,A387,Herramientas,36993,276143
2022-12-19,A388,Herramientas,467545,549334
2023-02-04,A389,Decoración,366892,984697
2022-12-04,A390,Herramientas,998974,214285
2023-02-15,A391,Decoración,876386,935721
2023-01-06,A392,Decoración,988199,197731
2022-12-18,A393,Ropa,937562,796257
2023-01-04,A394,Muebles,644823,723841
2022-12-06,A395,Herramientas,138424,543782
2023-01-21,A396,Muebles,219392,298273
2023-02-08,A397,Ropa,331381,735781
2023-01-05,A398,Muebles,402223,731840
2023-01-17,A399,Herramientas,717906,174662
2022-12-29,A400,Herramientas,614683,192812
2023-01-31,A401,Decoración,360058,396107
2023-01-24,A402,Belleza,664869,853140
2023-02-04,A403,Smartphones,958810,96176
2022-12-17,A404,Belleza,651780,928017
2022-12-19,A405,Belleza,622760,515891
2023-01-30,A406,Muebles,254756,813389
2022-12-14,A407,Decoración,637046,685991
2023-02-28,A408,Decoración,144214,595706
2023-01-27,A409,Belleza,213777,966757
2022-12-15,A410,Herramientas,563296,856520
2023-01-15,A411,Muebles,649119,898869
2023-01-06,A412,Belleza,740860,915245
2022-12-08,A413,Muebles,120931,985037
2022-12-31,A414,Smartphones,433309,90731
2023-02-01,A415,Smartphones,732277,160597
2023-01-04,A416,Ropa,608351,414739
2023-01-18,A417,Ropa,189274,777992
2022-12-06,A418,Smartphones,823528,278154
2023-02-20,A419,Muebles,651324,169172
2023-02-08,A420,Herramientas,427035,258243
2023-02-16,A421,Smartphones,624989,415046
2022-12-28,A422,Muebles,706107,88284
2022-12-17,A423,Belleza,645197,259005
2023-01-01,A424,Herramientas,237516,355049
2022-12-19,A425,Herramientas,708658,150302
2023-01-21,A426,Belleza,836704,671530
2023-01-28,A427,Herramientas,810196,183198
2022-12-28,A428,Smartphones,477908,284893
2023-02-02,A429,Muebles,599802,751217
2023-02-26,A430,Ropa,292385,132142
2023-01-21,A431,Decoración,253944,186788
2022-12-26,A432,Belleza,166748,768166
2022-12-06,A433,Decoración,280594,801941
2022-12-26,A434,Ropa,450165,821253
2023-02-25,A435,Herramientas,153497,879868
2023-01-25,A436,Herramientas,789921,94824
2022-12-11,A437,Herramientas,254908,133745
2023-01-07,A438,Smartphones,308497,62606
2023-02-21,A439,Decoración,263275,97017
2022-12-10,A440,Belleza,921327,740859
2023-01-09,A441,Smartphones,45473,123111
2023-01-29,A442,Smartphones,103983,454707
2023-03-02,A443,Muebles,781860,60234
2022-12-06,A444,Decoración,983858,578642
2023-02-15,A445,Ropa,794324,842786
2022-12-21,A446,Decoración,563415,135275
2023-02-17,A447,Herramientas,626520,866843
2023-02-09,A448,Belleza,216355,557119
2022-12-10,A449,Smartphones,543957,381818
2023-01-03,A450,Belleza,530387,232408
2023-01-12,A451,Ropa,936087,797787
2022-12-20,A452,Herramientas,902810,372396
2023-01-18,A453,Smartphones,799291,86613
2023-03-01,A454,Ropa,548334,138695
2023-01-14,A455,Herramientas,215677,502442
2023-02-10,A456,Muebles,119511,819014
2022-12-10,A457,Decoración,447587,741244
2023-02-26,A458,Muebles,76657,412213
2022-12-10,A459,Decoración,898336,631869
2023-02-11,A460,Ropa,599411,82206
2023-01-04,A461,Ropa,819414,619241
2022-12-21,A462,Smartphones,194758,936234
2022-12-31,A463,Decoración,46375,361451
2023-01-13,A464,Belleza,185365,495066
2023-01-31,A465,Smartphones,176788,972480
2022-12-04,A466,Belleza,134989,502169
2023-01-04,A467,Ropa,14935,810336
2023-01-16,A468,Muebles,98004,795609
2022-12-13,A469,Decoración,340907,786212
2023-01-20,A470,Herramientas,155097,323960
2023-02-24,A471,Muebles,515440,942428
2022-12-29,A472,Smartphones,278476,630016
2023-02-28,A473,Belleza,818001,185537
2022-12-04,A474,Belleza,859012,515868
2023-01-11,A475,Muebles,202097,710441
2022-12-15,A476,Muebles,51010,984536
2023-02-04,A477,Muebles,378515,88317
2022-12-22,A478,Belleza,592190,174900
2023-02-13,A479,Ropa,580994,435359
2023-02-17,A480,Muebles,379058,589292
2022-12-17,A481,Ropa,806711,778523
2022-12-09,A482,Decoración,993564,647230
2023-01-24,A483,Smartphones,495991,239064
2022-12-15,A484,Belleza,653383,299176
2023-02-17,A485,Herramientas,905868,209638
2022-12-08,A486,Herramientas,804219,389462
2022-12-14,A487,Decoración,493368,832916
2023-02-01,A488,Muebles,280010,498459
2023-02-22,A489,Muebles,768808,473524
2023-02-14,A490,Muebles,9160,927501
2022-12-16,A491,Belleza,104868,769881
2022-12-04,A492,Herramientas,619666,943664
2022-12-15,A493,Smartphones,99692,682206
2023-01-18,A494,Belleza,779069,635196
2023-01-20,A495,Herramientas,96007,539638
2023-01-18,A496,Ropa,433402,118584
2023-01-01,A497,Muebles,660765,542765
2023-02-28,A498,Ropa,222690,302116
2023-01-17,A499,Ropa,98695,389566
2023-02-01,A500,Belleza,630382,878293
2022-12-11,A501,Belleza,109219,102848
2022-12-26,A502,Smartphones,137449,896066
2023-02-17,A503,Decoración,639619,381621
2022-12-21,A504,Belleza,509873,445384
2023-02-06,A505,Muebles,755936,331714
2023-01-23,A506,Decoración,706499,477610
2023-01-11,A507,Herramientas,508934,999107
2023-01-12,A508,Belleza,700520,325617
2023-02-26,A509,Decoración,664139,470177
2022-12-25,A510,Decoración,74328,902279
2023-01-28,A511,Ropa,393880,302608
2023-01-23,A512,Belleza,340803,480688
2023-02-26,A513,Herramientas,887756,726286
2023-03-02,A514,Herramientas,14785,100916
2022-12-20,A515,Smartphones,933260,496229
2023-01-01,A516,Ropa,518207,766844
2023-01-26,A517,Belleza,495954,737145
2023-01-07,A518,Belleza,818378,734530
2023-01-13,A519,Herramientas,515817,510288
2023-01-26,A520,Muebles,643244,424540
2022-12-14,A521,Muebles,867359,209934
2023-02-21,A522,Muebles,821558,571106
2023-01-28,A523,Muebles,355606,902647
2023-01-29,A524,Smartphones,574779,563381
2023-01-21,A525,Herramientas,520867,777392
2023-02-08,A526,Herramientas,18752,222121
2023-02-21,A527,Muebles,933526,403865
2023-01-04,A528,Herramientas,204414,822058
2022-12-16,A529,Herramientas,390403,623456
2023-01-30,A530,Belleza,240446,565192
2023-02-17,A531,Belleza,135892,678258
2023-01-26,A532,Decoración,408630,213814
2023-02-19,A533,Belleza,586995,165810
2023-02-02,A534,Belleza,563815,951522
2023-01-25,A535,Ropa,124222,783516
2023-02-14,A536,Herramientas,486237,340777
2023-01-07,A537,Muebles,919209,408826
2023-02-07,A538,Belleza,205987,828816
2023-01-13,A539,Decoración,983448,503463
2023-02-12,A540,Belleza,868515,877799
2023-02-18,A541,Decoración,393737,899345
2023-02-14,A542,Smartphones,175032,945904
2022-12-23,A543,Smartphones,404926,559052
2023-01-02,A544,Muebles,254738,536278
2022-12-09,A545,Herramientas,189869,407614
2022-12-28,A546,Smartphones,437972,687117
2023-01-24,A547,Muebles,859979,495212
2023-02-04,A548,Smartphones,889527,709448
2022-12-13,A549,Smartphones,448880,534783
2022-12-04,A550,Ropa,146694,486453
2022-12-30,A551,Belleza,630018,109971
2023-02-16,A552,Ropa,915706,278650
2023-01-12,A553,Ropa,376092,213989
2022-12-23,A554,Muebles,559849,467411
2023-02-10,A555,Smartphones,146972,702913
2023-02-21,A556,Ropa,39893,143175
2022-12-30,A557,Muebles,525077,815311
2023-02-09,A558,Belleza,106583,492944
2023-01-12,A559,Smartphones,979807,74470
2023-02-14,A560,Herramientas,879274,406189
2023-02-18,A561,Muebles,161943,367541
2023-02-25,A562,Decoración,365159,376270
2023-01-29,A563,Belleza,211264,350679
2023-01-18,A564,Ropa,614108,270845
2023-01-04,A565,Herramientas,857149,968378
2022-12-08,A566,Ropa,573589,574537
2023-02-23,A567,Smartphones,655492,517500
2023-03-03,A568,Decoración,975004,163888
2023-02-01,A569,Ropa,834697,565720
2022-12-29,A570,Belleza,177107,892663
2023-02-23,A571,Smartphones,451577,634302
2022-12-11,A572,Belleza,346586,994896
2023-02-27,A573,Herramientas,20196,774439
2023-01-04,A574,Herramientas,500642,559174
2023-01-31,A575,Herramientas,148159,420035
2023-01-16,A576,Smartphones,731676,571597
2023-02-17,A577,Belleza,676888,77984
2023-01-20,A578,Muebles,148634,826654
2023-02-22,A579,Ropa,657012,971146
2023-02-10,A580,Muebles,710069,551568
2023-01-19,A581,Ropa,232646,255475
2023-02-28,A582,Ropa,534727,236662
2023-01-24,A583,Herramientas,184494,200853
2023-02-23,A584,Ropa,271995,461894
2023-01-27,A585,Ropa,563127,882216
2023-01-20,A586,Decoración,630799,657235
2022-12-20,A587,Decoración,143166,246355
2022-12-07,A588,Belleza,40692,399689
2022-12-12,A589,Smartphones,221481,552248
2023-01-23,A590,Belleza,971490,642885
2023-02-25,A591,Decoración,812803,281636
2022-12-05,A592,Ropa,674604,592788
2023-01-01,A593,Smartphones,981579,411096
2022-12-23,A594,Muebles,365179,180643
2023-01-14,A595,Smartphones,618287,661183
2022-12-23,A596,Ropa,196667,611031
2023-01-21,A597,Muebles,355726,938879
2023-02-09,A598,Decoración,276267,257192
2023-02-15,A599,Muebles,119403,989571
2023-01-31,A600,Decoración,476289,430615
2023-03-02,A601,Ropa,15564,689960
2022-12-06,A602,Muebles,142577,706829
2022-12-08,A603,Decoración,359405,102090
2023-01-13,A604,Smartphones,112918,871569
2023-01-17,A605,Smartphones,728064,831959
2022-12-10,A606,Ropa,776517,928399
2023-02-04,A607,Herramientas,244570,439284
2022-12-19,A608,Ropa,373331,358363
2022-12-24,A609,Belleza,504976,204743
2023-02-06,A610,Muebles,358656,782242
2022-12-19,A611,Smartphones,448399,768902
2022-12-25,A612,Belleza,525804,927843
2022-12-17,A613,Muebles,97468,660990
2022-12-29,A614,Herramientas,210895,191276
2022-12-05,A615,Ropa,830229,221569
2022-12-11,A616,Ropa,988402,660116
2022-12-24,A617,Smartphones,899600,722682
2023-01-01,A618,Herramientas,876325,816403
2023-02-20,A619,Decoración,244639,960507
2023-01-24,A620,Smartphones,872241,477938
2022-12-29,A621,Smartphones,442707,369807
2023-01-09,A622,Smartphones,967591,570724
2022-12-19,A623,Belleza,736478,146959
2023-01-04,A624,Muebles,111816,256752
2023-01-18,A625,Ropa,884082,288523
2023-01-13,A626,Herramientas,371285,878348
2023-01-25,A627,Decoración,266180,707312
2023-01-08,A628,Ropa,282639,900987
2023-02-22,A629,Decoración,51033,138018
2023-02-17,A630,Belleza,453141,122617
2022-12-17,A631,Decoración,212526,97300
2023-01-07,A632,Muebles,141042,272908
2022-12-22,A633,Ropa,120316,303141
2023-02-03,A634,Ropa,595701,367197
2022-12-04,A635,Ropa,793566,608497
2023-02-02,A636,Muebles,566708,357731
2023-01-15,A637,Herramientas,490891,377870
2023-01-14,A638,Belleza,750701,325434
2022-12-24,A639,Muebles,784708,533162
2023-01-07,A640,Herramientas,735118,989186
2022-12-06,A641,Herramientas,680281,234527
2023-01-10,A642,Ropa,308321,465103
2023-01-17,A643,Herramientas,335748,151026
2023-01-06,A644,Ropa,341198,689170
2022-12-27,A645,Muebles,950717,799718
2022-12-24,A646,Herramientas,212859,363574
2022-12-15,A647,Herramientas,354148,960455
2023-01-30,A648,Smartphones,973148,842978
2023-02-27,A649,Herramientas,405012,749004
2023-02-06,A650,Belleza,829382,145706
2022-12-31,A651,Smartphones,948922,520274
2023-01-03,A652,Belleza,369612,444206
